Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Kai-Wei Teng,SFG,AAA,26,3,2,3.63,26,4,0,0,2,1,,57,240,42,25,22,5,0,0,89,14.05,3.47,4.05,0.47,37.1,9.2,27.9,1.12,0.322,2.95,3.43,41.8,29.5,14.9,24282
Luinder Avila,KCR,"A+,AAA",23,2,3,5.01,17,12,0,0,0,0,,59.1,254,52,34,26,3,1,1,71,10.77,3.94,2.73,1.06,28.0,10.2,17.7,1.31,0.306,4.09,3.86,46.1,29.9,13.3,24452
Carlos Duran,LAD,AAA,23,4,0,5.03,38,2,0,0,1,1,,62.2,294,53,40,55,7,9,1,67,9.62,7.90,1.22,0.29,22.8,18.7,4.1,1.72,0.313,5.21,6.17,41.4,29.0,10.6,24458
Adam Kloffenstein,TOR,"A,AAA,CPX",24,2,9,5.66,21,18,0,0,1,0,,90.2,415,98,67,46,7,10,2,103,10.22,4.57,2.24,1.99,24.8,11.1,13.7,1.59,0.326,5.85,4.50,45.2,32.5,13.4,24493
Simeon Woods Richardson,MIN,AAA,24,2,0,4.43,5,4,0,0,0,0,,22.1,96,21,12,6,1,1,0,27,10.88,2.42,4.50,1.61,28.1,6.3,21.9,1.21,0.293,4.35,3.78,41.0,37.7,15.3,24494
Lyon Richardson,CIN,AAA,25,5,0,4.22,22,0,0,0,0,0,,32,136,31,17,13,1,0,1,32,9.00,3.66,2.46,0.84,23.5,9.6,14.0,1.38,0.322,4.03,3.93,50.0,23.9,10.6,24581
Kyle Bradish,BAL,"A+,AA,AAA",28,1,0,4.91,6,6,0,0,0,0,,22,99,23,14,8,1,1,0,25,10.23,3.27,3.13,0.82,25.3,8.1,17.2,1.41,0.333,3.59,3.73,46.8,29.0,12.4,24586
John Rooney,MIA,AAA,28,3,1,2.56,43,0,0,0,4,3,,38.2,161,22,12,24,8,2,1,55,12.80,5.59,2.29,0.47,34.2,14.9,19.3,1.19,0.278,3.88,4.36,42.5,35.6,14.1,24590
Joey Gerber,TBR,"AAA,CPX",28,0,2,6.09,35,10,0,0,2,1,,44.1,197,49,31,15,4,4,0,55,11.17,3.05,3.67,1.83,27.9,7.6,20.3,1.44,0.351,4.94,4.15,31.7,39.0,11.4,24591
Drew Rom,STL,"A,AAA",25,0,1,3.86,7,7,0,0,0,0,,23.1,92,15,11,6,3,2,0,24,9.26,2.31,4.00,0.77,26.1,6.5,19.6,0.90,0.228,3.73,3.82,46.6,31.0,8.6,24602
