Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Dylan Ray,ARI,"AA,AAA",24,12,6,5.45,28,28,0,0,0,0,,140.1,613,145,91,55,7,9,3,123,7.89,3.53,2.24,1.67,20.1,9.0,11.1,1.43,0.296,5.76,4.99,38.1,33.6,10.2,sa3020392
Joe Miller,DET,"A+,AAA",25,8,4,2.95,26,23,0,0,0,0,,116,487,109,48,35,6,4,0,101,7.84,2.72,2.89,0.78,20.7,7.2,13.6,1.24,0.296,3.86,3.86,39.5,37.1,11.2,sa3020393
Duncan Davitt,TBR,"AA,AAA",25,7,8,4.38,28,28,0,0,0,0,,152,630,139,75,45,8,2,0,150,8.88,2.66,3.33,1.13,23.8,7.1,16.7,1.21,0.294,4.02,3.70,42.8,34.0,12.7,sa3020394
JR Ritchie,ATL,"A+,AA,AAA",22,8,6,2.64,26,26,1,1,0,0,,140,564,87,46,54,9,1,1,140,9.00,3.47,2.59,0.77,24.8,9.6,15.2,1.01,0.215,3.84,3.77,49.6,31.2,11.2,sa3020395
Chris Campos,LAD,AA,24,8,6,4.19,26,23,0,0,1,0,,126.2,529,120,66,32,4,4,0,111,7.89,2.27,3.47,1.14,21.0,6.0,14.9,1.20,0.284,4.19,3.86,39.7,34.9,11.6,sa3020396
Seth Keller,ATL,A,21,2,4,7.13,22,1,0,0,0,2,,35.1,175,26,29,39,12,3,0,32,8.15,9.93,0.82,0.76,18.3,22.3,-4.0,1.84,0.258,7.19,6.82,43.8,36.0,9.7,sa3020397
Trevin Michael,DET,"A+,AA,AAA",27,6,0,2.18,39,0,0,0,6,1,,66,266,42,18,24,3,2,0,79,10.77,3.27,3.29,0.55,29.7,9.0,20.7,1.00,0.244,3.00,3.18,40.6,35.5,14.7,sa3020400
Spencer Giesting,ARI,"AA,AAA",23,8,9,5.31,27,27,0,0,0,0,,135.2,615,142,87,64,13,6,0,131,8.69,4.25,2.05,1.19,21.3,10.4,10.9,1.52,0.319,5.25,5.20,38.3,35.3,10.6,sa3020402
Landon Harper,ATL,AA,24,5,8,3.59,26,14,1,1,2,0,,107.2,439,98,46,21,2,3,1,105,8.78,1.76,5.00,1.17,23.9,4.8,19.1,1.11,0.283,3.57,2.97,39.6,35.7,13.6,sa3020404
John Klein,MIN,"AA,AAA",23,7,10,3.98,31,15,0,0,0,1,,106.1,464,96,62,37,11,6,0,128,10.83,3.13,3.46,0.59,27.6,8.0,19.6,1.25,0.317,3.26,3.80,38.2,38.9,11.3,sa3020405
Tyler Vogel,SFG,"A+,AA,AAA",24,7,2,2.88,40,0,0,0,9,0,,59.1,263,57,32,27,3,6,1,67,10.16,4.10,2.48,0.61,25.5,10.3,15.2,1.42,0.327,3.56,3.73,45.3,28.9,11.3,sa3020406
Jack Choate,SFG,AA,24,4,6,3.51,29,24,0,0,0,0,,102.2,445,94,47,51,9,5,0,123,10.78,4.47,2.41,1.05,27.6,11.5,16.2,1.41,0.328,4.17,3.67,36.8,34.9,12.3,sa3020407
Jake Miller,DET,"A,AA",24,0,0,1.80,6,6,0,0,0,0,,20,83,20,5,4,0,1,0,21,9.45,1.80,5.25,0.45,25.3,4.8,20.5,1.20,0.333,2.48,3.04,31.6,36.8,14.9,sa3020408
Jake Christianson,OAK,A+,25,3,1,4.67,39,0,0,0,0,0,,52,233,53,31,22,4,7,0,41,7.10,3.81,1.86,0.87,17.6,9.4,8.2,1.44,0.298,4.58,4.61,38.0,41.7,7.5,sa3020410
Gregori Ramirez,ARI,"A,CPX,DSL",20,2,2,3.60,17,0,0,0,5,1,,20,91,14,13,15,3,2,1,23,10.35,6.75,1.53,0.45,25.3,16.5,8.8,1.45,0.265,5.24,5.41,36.4,47.7,19.2,sa3020412
Jared Kollar,SDP,"AA,AAA",26,5,13,6.79,31,16,0,0,0,1,,112.2,514,148,93,47,2,3,0,71,5.67,3.75,1.51,1.44,13.8,9.1,4.7,1.73,0.346,5.79,5.79,37.2,38.5,6.9,sa3020439
Joseph Menefee,CIN,A+,25,3,3,3.65,32,0,0,0,3,5,,49.1,218,37,22,33,2,10,0,66,12.04,6.02,2.00,1.28,30.3,15.1,15.1,1.42,0.273,4.70,3.85,40.2,42.7,17.4,sa3020443
D.J. Carpenter,STL,A+,25,3,2,5.35,36,0,0,0,2,2,,37,178,39,25,30,2,5,2,41,9.97,7.30,1.37,0.49,23.0,16.9,6.2,1.86,0.359,4.49,4.69,39.4,32.7,8.8,sa3020444
Brody Jessee,CIN,A+,24,3,1,7.17,28,1,0,0,1,0,,47.2,231,53,42,28,14,2,0,46,8.69,5.29,1.64,1.70,19.9,12.1,7.8,1.70,0.328,6.58,5.17,36.4,36.4,9.8,sa3020447
David Davalillo,TEX,"A+,AA",22,6,4,2.44,23,22,1,0,0,0,,107,426,71,30,28,8,7,1,126,10.60,2.36,4.50,0.50,29.6,6.6,23.0,0.93,0.252,2.81,2.86,49.6,27.1,14.0,sa3020448
Hunter Hayes,STL,"A+,AA",24,2,4,4.78,36,0,0,0,2,1,,64,290,64,35,31,5,6,0,67,9.42,4.36,2.16,0.70,23.1,10.7,12.4,1.48,0.324,4.03,3.96,44.2,32.0,12.1,sa3020450
Carson Skipper,COL,"AA,AAA",25,6,1,2.97,44,0,0,0,1,2,,66.2,284,62,24,24,4,2,0,68,9.18,3.24,2.83,0.81,23.9,8.5,15.5,1.29,0.308,3.90,4.47,31.2,45.7,10.7,sa3020451
Johnathan Harmon,CIN,"A+,CPX",24,1,0,3.45,8,7,0,0,0,0,,28.2,127,29,13,13,2,3,0,25,7.85,4.08,1.92,0.31,19.7,10.2,9.4,1.47,0.326,3.91,4.45,37.3,34.9,9.1,sa3020452
Tanner Jacobson,STL,A+,25,6,5,3.20,31,0,0,0,2,1,,50.2,220,39,18,37,0,4,1,61,10.84,6.57,1.65,0.36,27.7,16.8,10.9,1.50,0.308,3.70,4.25,37.2,45.5,9.4,sa3020454
Haden Erbe,DET,"A,A+",26,3,1,3.27,37,0,0,0,0,3,,41.1,178,29,19,27,2,9,1,42,9.15,5.88,1.56,0.65,23.6,15.2,8.4,1.35,0.250,4.43,4.55,38.5,43.3,15.7,sa3020462
Caleb Bolden,BOS,AA,26,3,6,5.74,18,10,0,0,1,2,,58,265,63,41,26,6,5,0,60,9.31,4.03,2.31,0.47,22.6,9.8,12.8,1.53,0.353,3.55,3.84,48.8,28.2,11.9,sa3020463
Austin Becker,COL,"A,A+",25,0,2,3.06,24,0,0,0,0,0,,35.1,159,31,13,22,2,2,0,46,11.72,5.60,2.09,1.02,28.9,13.8,15.1,1.50,0.318,4.47,4.26,40.7,37.2,10.9,sa3020465
Chris Williams Jr.,DET,A,25,2,3,5.13,28,0,0,0,2,1,,33.1,164,40,25,20,3,4,2,42,11.34,5.40,2.10,1.62,25.6,12.2,13.4,1.80,0.366,5.44,3.86,46.4,24.7,14.7,sa3020466
Chazz Martinez,KCR,"AA,AAA",25,3,2,3.41,53,0,0,0,3,1,,74,319,63,29,28,8,9,2,77,9.36,3.41,2.75,0.36,24.1,8.8,15.4,1.23,0.296,3.38,4.15,44.8,33.0,10.2,sa3020468
Eli Saul,ARI,"A+,AA",23,5,3,4.74,53,1,0,0,1,4,,62.2,304,55,41,56,8,10,0,57,8.19,8.04,1.02,0.72,18.8,18.4,0.3,1.77,0.281,5.73,5.73,50.6,27.5,9.7,sa3020471
Sean Harney,STL,AA,26,1,1,4.24,22,1,0,0,5,1,,34,149,28,16,20,2,1,0,31,8.21,5.29,1.55,0.53,20.8,13.4,7.4,1.41,0.277,4.33,4.94,42.7,38.5,10.6,sa3020472
Dalton Rogers,BOS,"A+,AA",24,6,6,3.09,23,16,0,0,0,0,,105,447,83,40,57,2,6,3,129,11.06,4.89,2.26,0.34,28.9,12.8,16.1,1.33,0.310,3.03,3.43,46.4,32.4,12.5,sa3020479
Davison Palermo,COL,"A+,AA",25,4,3,3.31,46,0,0,0,4,2,,68,288,57,31,29,2,6,1,73,9.66,3.84,2.52,1.06,25.3,10.1,15.3,1.26,0.278,4.16,4.07,35.9,39.8,12.2,sa3020480
Jared Lyons,CIN,"AA,AAA",24,6,5,3.74,23,15,0,0,0,1,,86.2,358,74,40,32,2,8,2,80,8.31,3.32,2.50,0.62,22.3,8.9,13.4,1.22,0.286,3.45,3.71,38.5,35.1,11.3,sa3020483
Blaze Pontes,OAK,A+,25,3,2,1.79,42,0,0,0,2,1,,50.1,217,42,17,22,3,6,0,38,6.79,3.93,1.73,0.00,17.5,10.1,7.4,1.27,0.273,3.39,4.40,46.4,34.4,10.3,sa3020486
Stefan Raeth,SEA,"A+,AA",24,5,2,3.14,43,2,0,0,5,6,,57.1,226,42,22,13,5,0,0,62,9.73,2.04,4.77,1.26,27.4,5.8,21.7,0.96,0.246,4.04,3.58,41.0,41.0,14.1,sa3020487
Alex Amalfi,TOR,AA,24,6,8,4.41,34,11,0,0,4,0,,87.2,376,70,45,47,4,3,0,100,10.27,4.83,2.13,0.41,26.6,12.5,14.1,1.33,0.299,3.35,3.99,36.5,41.9,13.5,sa3020489
Jack Dallas,PHI,AA,26,1,1,3.47,31,3,0,0,0,2,,49.1,210,46,25,14,2,1,0,49,8.94,2.55,3.50,0.73,23.3,6.7,16.7,1.22,0.298,3.33,3.74,33.8,43.7,12.1,sa3020490
Jacob Edwards,CIN,A,24,5,2,3.88,23,0,0,0,1,2,,48.2,209,47,24,21,3,1,1,46,8.51,3.88,2.19,0.37,22.0,10.0,12.0,1.40,0.328,3.67,3.92,50.7,26.1,9.3,sa3020491
Abraham Gaitan,CIN,CPX,21,4,3,5.06,16,0,0,0,2,0,,32,141,35,25,9,0,3,0,36,10.13,2.53,4.00,2.25,25.5,6.4,19.1,1.38,0.307,6.34,4.13,41.7,44.0,15.0,sa3020492
Max Alba,DET,"A+,AA",25,2,5,4.66,26,20,0,0,0,0,,104.1,442,101,59,29,3,3,0,90,7.76,2.50,3.10,1.21,20.4,6.6,13.8,1.25,0.284,4.31,3.75,41.3,37.5,12.5,sa3020525
Michael Prosecky,COL,"A+,AA",24,11,7,4.19,27,27,0,0,0,0,,126.2,550,107,65,64,11,5,2,127,9.02,4.55,1.98,0.92,23.1,11.6,11.5,1.35,0.281,4.51,4.66,38.6,41.9,11.8,sa3020526
William Kempner,MIA,"A+,AA,AAA",24,7,3,2.26,48,0,0,0,7,0,,67.2,283,38,20,40,8,4,1,95,12.64,5.32,2.38,0.27,33.6,14.1,19.4,1.15,0.261,3.06,3.55,44.1,34.6,12.7,sa3020527
Cameron Weston,BAL,AAA,24,5,9,4.59,29,26,0,0,0,0,,135.1,605,130,76,71,14,3,0,133,8.84,4.72,1.87,1.06,22.0,11.7,10.2,1.49,0.307,4.95,5.06,43.2,34.5,10.0,sa3020528
Trace Bright,BAL,AA,24,3,8,4.74,23,15,0,0,1,0,,87.1,377,67,52,58,3,10,0,82,8.45,5.98,1.41,0.41,21.8,15.4,6.4,1.43,0.274,4.10,4.50,41.9,32.6,10.6,sa3020558
Brady Hill,COL,A,24,6,2,6.11,41,0,0,0,1,3,,45.2,216,44,39,37,2,13,0,65,12.81,7.29,1.76,0.39,30.1,17.1,13.0,1.77,0.382,4.29,4.52,36.0,37.8,12.7,sa3020559
Wyatt Cheney,BAL,"A+,AA",24,0,2,3.62,27,0,0,0,4,1,,37.1,160,28,18,25,1,6,1,47,11.33,6.03,1.88,1.21,29.4,15.6,13.8,1.42,0.280,4.69,3.95,39.5,42.0,15.0,sa3020562
C.J. Culpepper,MIN,"A,AA,CPX",23,2,2,2.43,17,17,0,0,0,0,,59.1,250,48,20,31,3,0,0,53,8.04,4.70,1.71,0.61,21.2,12.4,8.8,1.33,0.277,4.27,4.40,51.3,30.0,10.6,sa3020563
Preston Johnson,BAL,"AA,AAA",25,4,5,6.10,26,2,0,0,0,1,,48.2,219,39,35,35,2,4,1,56,10.36,6.47,1.60,1.11,25.6,16.0,9.6,1.52,0.275,4.92,4.68,35.2,40.8,13.0,sa3020565
Jonathan Brand,BOS,"A+,AA,AAA",25,4,3,3.16,33,0,0,0,5,1,,51.1,218,42,24,20,1,7,2,59,10.34,3.51,2.95,0.70,27.1,9.2,17.9,1.21,0.284,3.28,3.33,42.9,36.1,13.8,sa3020567
Ian Koenig,SDP,A+,24,5,8,5.40,21,21,1,0,0,0,,103.1,444,106,67,34,11,3,2,71,6.18,2.96,2.09,1.48,16.0,7.7,8.3,1.35,0.286,5.48,4.67,35.6,43.3,8.3,sa3020568
Andrew Morris,MIN,AAA,23,4,6,4.09,21,19,0,0,0,1,,94.2,398,98,49,28,4,4,1,89,8.46,2.66,3.18,1.05,22.4,7.0,15.3,1.33,0.327,4.14,4.27,42.4,33.6,10.7,sa3020569
Jared Beck,BAL,"A,A+",24,2,1,4.24,23,0,0,0,1,1,,23.1,116,17,15,29,2,4,5,29,11.19,11.19,1.00,1.16,25.0,25.0,0.0,1.97,0.264,6.70,5.65,42.3,30.8,11.3,sa3020571
Adam Tulloch,CLE,"A+,AA",24,1,1,3.97,32,1,0,0,2,0,,56.2,249,48,26,35,3,3,1,55,8.74,5.56,1.57,0.64,22.1,14.1,8.0,1.46,0.289,4.34,4.42,40.4,33.3,11.0,sa3020588
Brandon White,MIA,A+,25,7,4,4.06,23,12,0,0,1,0,,93,389,87,44,26,4,3,0,73,7.06,2.52,2.81,0.58,18.8,6.7,12.1,1.22,0.289,3.64,3.92,39.1,37.7,12.2,sa3020589
Eric Adler,CHW,"AA,AAA",24,3,5,5.89,34,1,0,0,1,6,,36.2,181,42,29,31,3,3,0,33,8.10,7.61,1.06,0.49,18.2,17.1,1.1,1.99,0.357,4.97,5.34,44.6,26.8,9.6,sa3020592
Austin Krob,SDP,"AA,AAA",25,0,1,5.93,26,6,0,0,1,1,,54.2,261,55,40,41,5,5,0,42,6.91,6.75,1.02,0.82,16.1,15.7,0.4,1.76,0.298,6.07,5.91,58.6,19.5,7.8,sa3020594
Braeden Fausnaught,PHI,AA,25,2,6,4.61,12,10,0,0,0,1,,52.2,239,63,35,17,3,5,0,52,8.89,2.91,3.06,1.54,21.8,7.1,14.6,1.52,0.342,4.68,4.00,34.2,43.5,11.4,sa3020598
Zach Jacobs,CLE,"AA,AAA",23,3,3,4.46,37,3,0,0,4,3,,68.2,292,48,35,44,7,4,1,61,8.00,5.77,1.39,1.05,20.9,15.1,5.8,1.34,0.233,5.26,5.17,30.3,47.2,10.3,sa3020600
Lluveres Severino,TOR,"A,CPX",21,4,1,4.57,26,0,0,0,3,3,,45.1,198,44,25,17,7,11,0,35,6.95,3.38,2.06,0.79,17.7,8.6,9.1,1.35,0.296,4.75,4.35,50.8,29.4,12.2,sa3020601
Connor McCullough,CHW,"A+,AA,CPX",25,0,4,3.43,13,13,0,0,0,0,,42,168,30,19,10,2,3,1,39,8.36,2.14,3.90,0.64,23.2,6.0,17.3,0.95,0.237,3.29,3.38,46.1,34.8,13.9,sa3020603
Mark McLaughlin,CHW,"A+,AA",24,3,3,3.48,45,0,0,0,8,4,,62,255,51,28,21,1,4,2,67,9.73,3.05,3.19,0.73,26.3,8.2,18.0,1.16,0.286,3.26,3.20,44.1,35.4,11.6,sa3020604
Ryan Ramsey,KCR,"AA,AAA",24,6,11,5.70,27,20,0,0,1,1,,113.2,514,120,82,56,9,12,3,114,9.03,4.43,2.04,0.95,22.2,10.9,11.3,1.55,0.334,4.54,4.66,37.6,39.7,14.4,sa3020605
David Sandlin,BOS,"AA,AAA",24,9,6,4.50,32,14,1,1,0,2,,106,457,105,55,40,3,4,1,107,9.08,3.40,2.68,0.85,23.4,8.8,14.7,1.37,0.320,3.76,3.94,36.1,38.0,11.8,sa3020606
Trevor Martin,TBR,"AA,AAA",24,5,1,3.21,38,0,0,0,3,3,,53.1,221,48,20,19,1,4,1,55,9.28,3.21,2.89,1.01,24.9,8.6,16.3,1.26,0.300,3.74,3.47,35.0,40.6,12.9,sa3020608
Kenya Huggins,CIN,"A,A+",22,2,3,3.81,24,21,0,0,0,0,,78,317,59,33,32,2,3,0,72,8.31,3.69,2.25,0.58,22.7,10.1,12.6,1.17,0.262,3.82,4.01,42.1,36.8,12.6,sa3020609
Brandon Johnson,KCR,"AA,AAA",26,4,3,4.88,54,2,0,0,8,0,,72,308,62,42,31,5,1,0,73,9.13,3.88,2.35,1.88,23.7,10.1,13.6,1.29,0.255,5.66,4.89,29.4,44.7,13.8,sa3020610
Eric Reyzelman,NYY,AAA,24,1,2,4.29,34,0,0,0,1,1,,42,188,26,20,42,2,4,0,45,9.64,9.00,1.07,1.07,23.9,22.3,1.6,1.62,0.223,6.04,5.88,43.8,35.4,7.3,sa3020611
Braxton Hyde,COL,A+,24,2,4,5.31,32,11,1,0,0,1,,83,375,100,58,41,0,5,0,68,7.37,4.45,1.66,1.30,18.1,10.9,7.2,1.70,0.346,5.17,5.03,38.9,39.3,10.7,sa3020612
Will Brian,NYY,"A+,AA",26,3,1,2.08,33,1,0,0,3,0,,43.1,181,34,13,19,1,3,0,50,10.38,3.95,2.63,0.21,27.6,10.5,17.1,1.22,0.300,2.68,3.16,42.9,27.6,11.6,sa3020621
Nick Hull,CHC,AA,25,2,2,3.61,35,2,0,0,0,1,,57.1,247,53,27,26,3,2,0,56,8.79,4.08,2.15,1.10,22.7,10.5,12.1,1.38,0.297,4.34,3.78,40.6,34.4,14.9,sa3020624
Matt Keating,NYY,A+,24,3,1,2.57,34,1,0,0,2,1,,49,208,34,17,26,7,5,0,58,10.65,4.78,2.23,0.18,27.9,12.5,15.4,1.22,0.284,3.31,3.82,47.0,30.4,16.4,sa3020625
Adam Serwinowski,LAD,"A+,AA",21,5,7,4.03,25,24,0,0,0,0,,111.2,491,97,57,55,13,5,3,140,11.28,4.43,2.55,0.97,28.5,11.2,17.3,1.36,0.314,4.13,3.66,39.7,37.9,13.1,sa3020626
Jacob Watters,TBR,AA,24,1,4,4.87,6,6,0,0,0,0,,20.1,93,21,13,10,1,3,0,23,10.18,4.43,2.30,1.77,24.7,10.8,14.0,1.52,0.309,5.11,3.86,40.4,43.9,12.4,sa3020628
Mathew Peters,CHC,"A,CPX",24,4,2,7.54,30,0,0,0,4,1,,37,188,43,34,37,4,11,3,39,9.49,9.00,1.05,0.24,20.7,19.7,1.1,2.16,0.393,5.52,6.21,39.8,44.7,12.6,sa3020629
Seth Clark,TEX,A+,25,2,4,6.25,28,0,0,0,3,1,,31.2,152,29,31,27,1,5,0,35,9.95,7.67,1.30,0.28,23.0,17.8,5.3,1.77,0.318,4.25,4.65,50.0,27.9,14.0,sa3020630
Alex McFarlane,PHI,"A+,AA",24,4,9,4.84,28,18,1,0,0,2,,80,346,67,46,43,5,1,0,82,9.23,4.84,1.91,0.45,23.7,12.4,11.3,1.38,0.297,3.79,4.05,39.6,31.6,11.9,sa3020633
Ryan Jennings,TOR,"AA,AAA",26,4,4,3.72,45,0,0,0,0,4,,58,277,55,27,43,8,9,0,82,12.72,6.67,1.91,1.24,29.6,15.5,14.1,1.69,0.346,5.02,4.51,41.1,34.8,13.7,sa3020634
Karson Milbrandt,MIA,"A,A+,AA",21,3,5,3.00,22,22,0,0,0,0,,90,389,67,33,48,8,5,2,113,11.30,4.80,2.35,0.30,29.0,12.3,16.7,1.28,0.295,3.17,3.51,50.7,32.6,15.6,sa3020659
Gabriel Hughes,COL,"AA,AAA,CPX",23,5,6,4.19,24,24,1,1,0,0,,105.1,442,95,53,38,4,4,0,88,7.52,3.25,2.32,1.11,19.9,8.6,11.3,1.26,0.274,4.85,4.55,48.5,27.7,9.3,sa3020661
Brendan Beck,NYY,"AA,AAA",26,13,5,3.36,26,24,0,0,0,0,,131.1,522,103,51,36,2,2,1,123,8.43,2.47,3.42,0.96,23.6,6.9,16.7,1.06,0.256,3.79,3.90,38.3,36.9,11.6,sa3020680
Trystan Vrieling,NYY,"A,AA,CPX",24,2,3,4.63,21,19,0,0,0,0,,81.2,358,87,45,30,7,5,0,83,9.15,3.31,2.77,0.99,23.2,8.4,14.8,1.43,0.341,4.07,3.88,35.9,37.6,9.4,sa3020681
Cory Lewis,MIN,AAA,24,4,6,7.27,24,11,0,0,0,3,,73,366,83,62,68,2,8,0,87,10.73,8.38,1.28,1.60,23.8,18.6,5.2,2.07,0.357,6.30,5.96,31.4,40.6,10.3,sa3020702
Lucas Wepf,LAD,AA,25,2,0,2.79,23,0,0,0,1,2,,29,118,19,9,16,3,1,2,36,11.17,4.97,2.25,0.00,30.5,13.6,16.9,1.21,0.302,2.93,3.72,46.7,30.0,15.7,sa3020704
Robby Snelling,MIA,"AA,AAA",21,9,7,2.51,25,25,1,0,0,0,,136,547,112,43,39,3,4,0,166,10.99,2.58,4.26,0.66,30.3,7.1,23.2,1.11,0.310,2.77,2.72,50.8,28.0,13.6,sa3020707
Brock Porter,TEX,"A,A+",22,5,1,3.03,42,0,0,0,2,0,,68.1,294,44,24,40,12,4,0,79,10.40,5.27,1.98,1.05,26.9,13.6,13.3,1.23,0.232,5.06,4.35,33.3,42.6,13.5,sa3020708
Brycen Mautz,STL,AA,23,8,3,2.98,25,25,0,0,0,0,,114.2,468,94,39,33,5,3,0,134,10.52,2.59,4.06,1.02,28.6,7.1,21.6,1.11,0.286,3.58,3.20,41.2,33.7,12.8,sa3020710
Allan Saathoff,SEA,A+,25,1,1,7.76,23,0,0,0,0,0,,29,141,31,28,24,3,2,1,26,8.07,7.45,1.08,1.55,18.4,17.0,1.4,1.90,0.313,6.69,6.19,35.6,41.4,10.1,sa3020711
Tyler Schweitzer,CHW,"AA,AAA",24,8,2,4.61,27,10,0,0,0,0,,99.2,428,93,56,41,1,4,0,81,7.31,3.70,1.98,1.17,18.9,9.6,9.3,1.34,0.274,4.68,4.28,46.3,30.7,11.2,sa3020712
Julian Bosnic,PIT,A+,25,6,2,3.51,42,1,0,0,0,0,,51.1,223,39,21,38,3,4,0,58,10.17,6.66,1.53,0.70,26.0,17.0,9.0,1.50,0.292,4.54,4.39,42.6,33.6,10.7,sa3020734
Cameron Foster,NYM,"AA,AAA",26,5,2,3.11,34,1,0,0,3,0,,46.1,190,38,21,16,0,1,0,62,12.04,3.11,3.88,0.39,32.6,8.4,24.2,1.17,0.327,2.30,3.03,37.3,40.0,17.7,sa3020735
Jake Bennett,WSN,"A,A+,AA",24,2,5,2.27,19,18,0,0,0,0,,75.1,297,62,20,19,1,0,1,64,7.65,2.27,3.37,0.36,21.5,6.4,15.2,1.08,0.281,2.96,3.41,47.3,31.4,13.1,sa3020737
Jack Jasiak,CLE,"A+,AA",24,6,5,3.37,40,0,0,0,13,2,,69.1,302,71,32,19,4,0,0,77,10.00,2.47,4.05,0.52,25.5,6.3,19.2,1.30,0.338,2.91,3.29,38.6,39.1,12.1,sa3020738
Connor Staine,COL,AA,24,3,8,4.91,25,25,0,0,0,0,,106.1,475,105,65,56,6,3,0,82,6.94,4.74,1.46,1.27,17.3,11.8,5.5,1.51,0.285,5.33,5.23,32.5,48.5,9.4,sa3020739
Noah Dean,BOS,"A+,AA",24,2,6,5.45,23,15,0,0,1,0,,66,305,52,49,49,14,8,2,82,11.18,6.68,1.67,1.23,26.9,16.1,10.8,1.53,0.285,5.54,4.48,45.5,29.7,14.3,sa3020740
Marques Johnson,SFG,"A+,AA",24,2,3,2.53,41,0,0,0,5,3,,57,236,42,17,30,2,10,0,78,12.32,4.74,2.60,0.16,33.1,12.7,20.3,1.26,0.328,2.54,3.14,52.4,30.2,15.7,sa3020741
Peyton Pallette,CHW,"AA,AAA",24,2,3,4.06,52,0,0,0,11,1,,64.1,265,44,30,28,4,3,1,86,12.03,3.92,3.07,0.84,32.5,10.6,21.9,1.12,0.270,3.43,3.77,31.0,44.8,14.7,sa3020742
Shawn Rapp,CLE,"AA,AAA",24,0,3,6.46,25,0,0,0,0,2,,30.2,148,32,26,21,6,1,0,25,7.34,6.16,1.19,0.59,16.9,14.2,2.7,1.73,0.319,5.15,5.60,37.0,37.0,8.4,sa3020743
Kaleb Bowman,MIL,AA,28,2,1,2.76,38,0,0,0,6,1,,45.2,183,32,15,19,3,4,2,37,7.29,3.74,1.95,0.99,20.2,10.4,9.8,1.12,0.227,4.44,4.18,37.0,42.0,10.9,sa3020745
Max Rajcic,STL,"AA,AAA",23,3,7,4.96,27,27,0,0,0,0,,118,543,131,77,54,11,9,0,100,7.63,4.12,1.85,1.14,18.4,9.9,8.5,1.57,0.320,5.08,4.87,41.5,31.0,10.6,sa3020746
Cole Paplham,SDP,"A+,AA,CPX",25,0,2,7.40,21,3,0,0,1,3,,24.1,121,22,21,21,5,6,0,21,7.77,7.77,1.00,0.74,17.4,17.4,0.0,1.77,0.278,6.18,6.08,47.9,31.5,12.2,sa3020749
Mason Vinyard,NYY,"AA,AAA",26,3,3,4.47,41,1,0,0,2,4,,48.1,206,35,24,28,4,4,1,54,10.06,5.21,1.93,1.12,26.2,13.6,12.6,1.30,0.254,4.66,4.23,31.9,40.3,12.3,sa3020753
Jackson Kelley,TEX,"AA,CPX",25,2,1,2.10,23,1,0,0,0,0,,34.1,145,23,9,17,6,1,0,32,8.39,4.46,1.88,0.26,22.1,11.7,10.3,1.17,0.247,4.11,5.07,30.7,43.2,9.4,sa3020755
Grayson Thurman,TOR,AA,26,1,1,4.62,23,0,0,0,2,1,,25.1,106,19,13,12,2,5,0,20,7.11,4.26,1.67,1.07,18.9,11.3,7.5,1.22,0.232,4.91,4.61,43.7,38.0,12.3,sa3020756
Kevin Miranda,TOR,"A+,AA",26,3,4,7.94,13,6,0,0,0,0,,34,159,42,31,13,4,2,0,26,6.88,3.44,2.00,2.12,16.4,8.2,8.2,1.62,0.315,6.45,5.26,35.1,42.1,9.9,sa3020757
Wesley Moore,PHI,"A+,AA",25,2,5,5.45,33,1,0,0,1,0,,38,178,39,30,25,3,6,1,36,8.53,5.92,1.44,0.47,20.2,14.0,6.2,1.68,0.330,4.37,4.99,36.8,39.5,13.1,sa3020796
Brandon Birdsell,CHC,"A+,AAA,CPX",25,2,2,2.94,8,8,0,0,0,0,,33.2,143,28,16,13,3,0,0,33,8.82,3.48,2.54,1.34,23.1,9.1,14.0,1.22,0.258,5.05,4.29,49.5,30.8,10.8,sa3020797
Pete Hansen,STL,AA,24,8,5,3.93,26,26,0,0,0,0,,137.1,583,137,71,37,2,3,0,123,8.06,2.42,3.32,0.79,21.1,6.3,14.8,1.27,0.306,3.65,3.71,46.2,31.6,12.1,sa3020798
Bryce Osmond,LAA,"AA,CPX",24,0,4,6.30,9,6,0,0,0,0,,20,89,20,17,11,2,1,0,21,9.45,4.95,1.91,1.80,23.6,12.4,11.2,1.55,0.314,5.88,4.54,30.2,45.3,8.0,sa3020800
Shaddon Peavyhouse,SEA,A+,26,2,4,6.17,28,3,0,0,0,2,,54,245,54,38,28,6,9,1,40,6.67,4.67,1.43,1.67,16.3,11.4,4.9,1.52,0.273,6.26,5.10,54.7,28.2,11.0,sa3020802
J.P. Massey,PIT,A+,25,4,1,6.80,34,0,0,0,0,2,,46.1,219,42,36,32,6,8,0,44,8.55,6.22,1.38,1.17,20.1,14.6,5.5,1.60,0.275,5.64,4.89,43.2,30.3,11.1,sa3020803
Nate Peterson,MIL,"AA,AAA",25,6,6,4.00,31,8,0,0,1,0,,74.1,326,79,35,34,0,2,0,59,7.14,4.12,1.74,0.61,18.1,10.4,7.7,1.52,0.325,3.87,4.19,41.4,36.1,10.1,sa3020804
